,label,vector
0,/content/drive/My Drive/faces94/male/9338446/9338446.1.jpg,[107 233 144 ...  64  97  95]
1,/content/drive/My Drive/faces94/male/9338446/9338446.15.jpg,[107 229 141 ...  61  90  83]
2,/content/drive/My Drive/faces94/male/9338446/9338446.14.jpg,[ 97 232 142 ...  52  69  70]
3,/content/drive/My Drive/faces94/male/9338446/9338446.16.jpg,[102 225 138 ...  54 104  94]
4,/content/drive/My Drive/faces94/male/9338446/9338446.12.jpg,[103 231 146 ...  60  66  71]
5,/content/drive/My Drive/faces94/male/9338446/9338446.11.jpg,[107 230 140 ...  56  63  65]
6,/content/drive/My Drive/faces94/male/9338446/9338446.10.jpg,[106 232 143 ...  60  65  67]
7,/content/drive/My Drive/faces94/male/9338446/9338446.13.jpg,[107 229 141 ...  57  69  70]
8,/content/drive/My Drive/faces94/male/9338446/9338446.17.jpg,[105 225 140 ...  50 104  88]
9,/content/drive/My Drive/faces94/male/9338446/9338446.19.jpg,[104 226 142 ...  45  90  82]
10,/content/drive/My Drive/faces94/male/9338446/9338446.2.jpg,[112 233 145 ...  58 104  90]
11,/content/drive/My Drive/faces94/male/9338446/9338446.18.jpg,[105 227 140 ...  52  85  76]
12,/content/drive/My Drive/faces94/male/9338446/9338446.20.jpg,[105 234 140 ...  52  86  80]
13,/content/drive/My Drive/faces94/male/9338446/9338446.9.jpg,[108 234 140 ...  62  79  81]
14,/content/drive/My Drive/faces94/male/9338446/9338446.3.jpg,[112 236 146 ...  61 103  92]
15,/content/drive/My Drive/faces94/male/9338446/9338446.8.jpg,[111 235 145 ...  67 112  93]
16,/content/drive/My Drive/faces94/male/9338446/9338446.6.jpg,[112 234 150 ...  56 110  95]
17,/content/drive/My Drive/faces94/male/9338446/9338446.4.jpg,[104 235 152 ...  53 108  93]
18,/content/drive/My Drive/faces94/male/9338446/9338446.7.jpg,[112 235 147 ...  53 111  98]
19,/content/drive/My Drive/faces94/male/9338446/9338446.5.jpg,[111 235 147 ...  54 107  93]
20,/content/drive/My Drive/faces94/male/9338454/9338454.10.jpg,[105 203 129 ...  40 138 105]
21,/content/drive/My Drive/faces94/male/9338454/9338454.11.jpg,[103 203 128 ...  43 138 103]
22,/content/drive/My Drive/faces94/male/9338454/9338454.1.jpg,[102 203 128 ...  44 139 104]
23,/content/drive/My Drive/faces94/male/9338454/9338454.12.jpg,[106 201 131 ...  44 141 101]
24,/content/drive/My Drive/faces94/male/9338454/9338454.13.jpg,[111 200 131 ...  43 139 103]
25,/content/drive/My Drive/faces94/male/9338454/9338454.14.jpg,[100 203 131 ...  41 140 103]
26,/content/drive/My Drive/faces94/male/9338454/9338454.15.jpg,[105 204 124 ...  45 137 103]
27,/content/drive/My Drive/faces94/male/9338454/9338454.17.jpg,[109 202 129 ...  42 140 104]
28,/content/drive/My Drive/faces94/male/9338454/9338454.16.jpg,[105 203 129 ...  40 141 103]
29,/content/drive/My Drive/faces94/male/9338454/9338454.18.jpg,[102 201 131 ...  43 139 103]
30,/content/drive/My Drive/faces94/male/9338454/9338454.19.jpg,[104 206 128 ...  39 142 104]
31,/content/drive/My Drive/faces94/male/9338454/9338454.5.jpg,[104 205 127 ...  45 140 106]
32,/content/drive/My Drive/faces94/male/9338454/9338454.2.jpg,[108 199 132 ...  44 139 104]
33,/content/drive/My Drive/faces94/male/9338454/9338454.3.jpg,[105 203 126 ...  44 140 105]
34,/content/drive/My Drive/faces94/male/9338454/9338454.4.jpg,[106 203 126 ...  40 140 104]
35,/content/drive/My Drive/faces94/male/9338454/9338454.20.jpg,[103 203 128 ...  41 141 106]
36,/content/drive/My Drive/faces94/male/9338454/9338454.6.jpg,[102 201 127 ...  43 140 108]
37,/content/drive/My Drive/faces94/male/9338454/9338454.7.jpg,[104 202 127 ...  43 138 104]
38,/content/drive/My Drive/faces94/male/9338454/9338454.8.jpg,[109 205 125 ...  42 140 104]
39,/content/drive/My Drive/faces94/male/9338454/9338454.9.jpg,[ 99 202 130 ...  43 139 104]
40,/content/drive/My Drive/faces94/male/9338519/9338519.1.jpg,[ 75 166 103 ...  28  24  24]
41,/content/drive/My Drive/faces94/male/9338519/9338519.12.jpg,[ 74 171 105 ...  28  26  26]
42,/content/drive/My Drive/faces94/male/9338519/9338519.11.jpg,[ 79 169 110 ...  28  25  24]
43,/content/drive/My Drive/faces94/male/9338519/9338519.13.jpg,[ 77 169 104 ...  29  24  24]
44,/content/drive/My Drive/faces94/male/9338519/9338519.10.jpg,[ 73 170 106 ...  29  25  24]
45,/content/drive/My Drive/faces94/male/9338519/9338519.14.jpg,[ 78 169 104 ...  30  25  24]
46,/content/drive/My Drive/faces94/male/9338519/9338519.15.jpg,[ 76 170 105 ...  26  26  24]
47,/content/drive/My Drive/faces94/male/9338519/9338519.16.jpg,[ 77 170 103 ...  29  24  23]
48,/content/drive/My Drive/faces94/male/9338519/9338519.17.jpg,[ 74 168 104 ...  27  23  22]
49,/content/drive/My Drive/faces94/male/9338519/9338519.18.jpg,[ 74 168 105 ...  29  24  23]
50,/content/drive/My Drive/faces94/male/9338519/9338519.19.jpg,[ 76 170 105 ...  29  24  24]
51,/content/drive/My Drive/faces94/male/9338519/9338519.5.jpg,[ 75 169 105 ...  29  23  23]
52,/content/drive/My Drive/faces94/male/9338519/9338519.7.jpg,[ 75 169 104 ...  30  26  24]
53,/content/drive/My Drive/faces94/male/9338519/9338519.6.jpg,[ 77 167 104 ...  29  24  22]
54,/content/drive/My Drive/faces94/male/9338519/9338519.4.jpg,[ 75 169 104 ...  28  25  21]
55,/content/drive/My Drive/faces94/male/9338519/9338519.3.jpg,[ 76 167 104 ...  29  24  24]
56,/content/drive/My Drive/faces94/male/9338519/9338519.2.jpg,[ 73 170 104 ...  28  23  24]
57,/content/drive/My Drive/faces94/male/9338519/9338519.20.jpg,[ 69 170 105 ...  26  25  22]
58,/content/drive/My Drive/faces94/male/9338519/9338519.8.jpg,[ 82 167 105 ...  29  23  23]
59,/content/drive/My Drive/faces94/male/9338519/9338519.9.jpg,[ 79 169 106 ...  30  25  24]
60,/content/drive/My Drive/faces94/male/9338489/9338489.1.jpg,[ 73 169 111 ...  16  18  26]
61,/content/drive/My Drive/faces94/male/9338489/9338489.12.jpg,[ 75 170 109 ...  15  16  26]
62,/content/drive/My Drive/faces94/male/9338489/9338489.11.jpg,[ 71 170 113 ...  15  15  21]
63,/content/drive/My Drive/faces94/male/9338489/9338489.10.jpg,[ 73 170 113 ...  13  15  20]
64,/content/drive/My Drive/faces94/male/9338489/9338489.13.jpg,[ 71 172 107 ...  18  16  22]
65,/content/drive/My Drive/faces94/male/9338489/9338489.14.jpg,[ 71 172 109 ...  17  17  23]
66,/content/drive/My Drive/faces94/male/9338489/9338489.16.jpg,[ 62 169 107 ...  16  16  22]
67,/content/drive/My Drive/faces94/male/9338489/9338489.15.jpg,[ 71 166 109 ...  19  18  24]
68,/content/drive/My Drive/faces94/male/9338489/9338489.18.jpg,[ 69 169 111 ...  22  20  26]
69,/content/drive/My Drive/faces94/male/9338489/9338489.17.jpg,[ 68 165 109 ...  18  18  24]
70,/content/drive/My Drive/faces94/male/9338489/9338489.19.jpg,[ 65 165 114 ...  16  16  22]
71,/content/drive/My Drive/faces94/male/9338489/9338489.2.jpg,[ 73 168 111 ...  17  16  22]
72,/content/drive/My Drive/faces94/male/9338489/9338489.20.jpg,[ 70 165 108 ...  17  16  26]
73,/content/drive/My Drive/faces94/male/9338489/9338489.3.jpg,[ 68 169 113 ...  16  16  22]
74,/content/drive/My Drive/faces94/male/9338489/9338489.4.jpg,[ 67 167 111 ...  15  16  26]
